CountyName,HUC_8,area_ha_piece,county_area_ha,frac_of_county
Adair,07100007,182.915554403828,147631.01281104452,0.0012390049415832755
Adair,07100008,47484.48791765279,147631.01281104452,0.32164304107585445
Adair,10240003,1944.71773182751,147631.01281104452,0.013172826595158484
Adair,10240009,56762.798871749364,147631.01281104452,0.38449102116776135
Adair,10240010,10956.035638650368,147631.01281104452,0.07421229069716664
Adair,10240012,20.619094604303406,147631.01281104452,0.00013966641704676335
Adair,10280102,30279.43800215609,147631.01281104452,0.20510214910542723
Adams,10240009,31217.606342459298,110166.51283625634,0.28336747291673764
Adams,10240010,51226.082111619166,110166.51283625634,0.4649877788884719
Adams,10240012,12730.374633649619,110166.51283625634,0.11555575560943043
Adams,10240013,14992.449748528295,110166.51283625634,0.13608899258536036
Allamakee,07060001,117890.12871405225,170699.72988723937,0.6906286775727646
Allamakee,07060002,52340.92835327771,170699.72988723937,0.3066257245272328
Allamakee,07060004,468.67281990912136,170699.72988723937,0.002745597900000877
Appanoose,07100009,15905.102518310672,133564.67103673835,0.11908165830720167
Appanoose,07110001,9616.190929873625,133564.67103673835,0.07199651565965817
Appanoose,07110002,1843.9047840268304,133564.67103673835,0.013805333174665965
Appanoose,10280103,757.594252595644,133564.67103673835,0.005672115588015485
Appanoose,10280201,105441.87855193154,133564.67103673835,0.7894443772704585
Audubon,07100007,4989.929735258186,114833.32091934767,0.04345367438047731
Audubon,10240002,21351.083833553275,114833.32091934767,0.18593108396254648
Audubon,10240003,88492.30735053605,114833.32091934767,0.7706152416569749
Benton,07080205,157300.91597655206,185982.43029483486,0.845783742728738
Benton,07080208,28681.514318282836,185982.43029483486,0.15421625727126217
Black Hawk,07080102,17519.850952536177,148226.1454747898,0.1181967654654822
Black Hawk,07080201,4713.146774229366,148226.1454747898,0.03179700017923609
Black Hawk,07080202,145.01649301899633,148226.1454747898,0.0009783462462340062
Black Hawk,07080204,1985.440487400086,148226.1454747898,0.013394671237253271
Black Hawk,07080205,123862.69076760538,148226.1454747898,0.8356332168717958
Boone,07080105,32813.7943561405,148449.25413883143,0.22104384792295867
Boone,07100004,112779.56792815332,148449.25413883143,0.7597179829726904
Boone,07100006,2582.188652226824,148449.25413883143,0.017394419845396678
Boone,07100008,273.7032023105466,148449.25413883143,0.0018437492589526672
